Vegetable_Name,Market_Price,Average_Retail_Price,Average_Shoping_Mall_Price
Amaranth Leaves,11.787234042553191,14.286170212765958,16.847872340425532
Amla,61.51063829787234,74.52340425531915,87.67234042553191
Ash gourd,22.906382978723403,27.672340425531914,32.64787234042553
Baby Corn,59.12765957446808,71.56595744680851,84.28510638297873
Banana Flower,16.719148936170214,20.275531914893616,23.78936170212766
Beetroot,35.55531914893617,43.03829787234042,50.67659574468085
Bitter Gourd,31.42340425531915,38.0468085106383,44.77553191489362
Bottle Gourd,24.91276595744681,30.161702127659574,35.52872340425532
Brinjal,25.293617021276596,30.620212765957447,36.064893617021276
Brinjal (Big),29.870212765957447,36.14148936170213,42.5968085106383
Broad Beans,38.47446808510638,46.58617021276596,54.827659574468086
Butter Beans,63.41702127659575,76.75,90.4063829787234
Cabbage,22.338297872340426,27.02340425531915,31.861702127659573
Capsicum,39.253191489361704,47.545744680851065,55.977659574468085
Carrot,43.12978723404255,52.22659574468085,61.484042553191486
Cauliflower,29.45531914893617,35.67127659574468,42.030851063829786
Cluster beans,44.48936170212766,53.851063829787236,63.398936170212764
Coconut,29.163829787234043,35.31170212765957,41.56170212765957
Colocasia,25.240425531914894,30.522340425531915,36.026595744680854
Colocasia Leaves,13.36808510638298,16.188297872340424,19.01276595744681
Coriander Leaves,8.827659574468084,10.7,12.591489361702127
Corn,26.823404255319147,32.47446808510638,38.280851063829786
Cucumber,21.0531914893617,25.467021276595744,30.00212765957447
Curry Leaves,31.329787234042552,37.92553191489362,44.708510638297874
Dill Leaves,12.821276595744681,15.613829787234042,18.272340425531915
Drumsticks,81.84042553191489,99.14787234042554,116.71808510638297
Elephant Yam,27.419148936170213,33.225531914893615,39.148936170212764
Fenugreek Leaves,10.187234042553191,12.325531914893617,14.577659574468084
French Beans,44.52127659574468,53.853191489361706,63.45744680851064
Garlic,58.51063829787234,70.82978723404256,83.3968085106383
Ginger,41.236170212765956,49.90744680851064,58.774468085106385
Green Chilli,38.88085106382979,47.08617021276596,55.396808510638294
Green Peas,72.94255319148937,88.33829787234042,103.96170212765958
Ivy Gourd,26.729787234042554,32.34574468085106,38.079787234042556
Ladies Finger,33.282978723404256,40.265957446808514,47.45957446808511
Lemon (Lime),55.863829787234046,67.65851063829787,79.60851063829787
Mango Raw,72.20851063829787,87.39574468085107,102.89468085106382
Mint Leaves,5.674468085106383,6.9425531914893615,8.161702127659574
Mushroom,82.28085106382979,99.54148936170213,117.23829787234042
Mustard Leaves,16.025531914893616,19.445744680851064,22.862765957446808
Onion Big,25.27872340425532,30.572340425531916,36.07340425531915
Onion Green,40.236170212765956,48.704255319148935,57.38404255319149
Onion Small,41.02127659574468,49.670212765957444,58.464893617021275
Potato,28.72340425531915,34.7563829787234,40.9531914893617
Pumpkin,24.329787234042552,29.403191489361703,34.70531914893617
Radish,24.72340425531915,29.882978723404257,35.3
Raw Banana (Plantain),8.13404255319149,9.825531914893617,11.661702127659574
Ridge Gourd,28.365957446808512,34.35425531914893,40.441489361702125
Shallot (Pearl Onion),33.191489361702125,40.18829787234043,47.253191489361704
Snake Gourd,26.885106382978723,32.535106382978725,38.34148936170213
Sorrel Leaves,12.014893617021277,14.726595744680852,17.124468085106383
Spinach,12.523404255319148,15.290425531914893,17.841489361702127
Sweet Potato,38.712765957446805,46.956382978723404,55.11914893617021
Tomato,26.73617021276596,32.35425531914893,38.13297872340426
