"Vegetable_Name";"month";"amp";"arp";"asmp"
"Garlic";1;62.6667;75.66666666666667;89.5
"Garlic";2;67.0357;81.07142857142857;95.58928571428571
"Garlic";3;64.0645;77.43548387096774;91.38709677419355
"Garlic";4;63.7;77.13333333333334;90.86666666666666
"Garlic";5;74.1613;89.62903225806451;105.6774193548387
"Garlic";6;79.3;96.01666666666667;113.01666666666667
"Garlic";7;72.3548;87.6774193548387;103.04838709677419
"Garlic";8;72.5484;87.75806451612904;103.3225806451613
"Garlic";9;56.9333;68.91666666666667;81.08333333333333
"Garlic";10;44.9032;54.354838709677416;63.95161290322581
"Garlic";11;44.5;53.833333333333336;63.46666666666667
"Garlic";12;42.4839;51.354838709677416;60.45161290322581
"Ginger";1;31.0;37.666666666666664;44.166666666666664
"Ginger";2;36.7857;44.5;52.5
"Ginger";3;33.3548;40.354838709677416;47.483870967741936
"Ginger";4;39.3333;47.65;56.11666666666667
"Ginger";5;39.5161;47.693548387096776;56.225806451612904
"Ginger";6;40.1333;48.516666666666666;57.2
"Ginger";7;41.1935;49.935483870967744;58.693548387096776
"Ginger";8;41.0645;49.70967741935484;58.483870967741936
"Ginger";9;40.7333;49.13333333333333;57.93333333333333
"Ginger";10;42.6774;51.725806451612904;60.88709677419355
"Ginger";11;42.3667;51.25;60.483333333333334
"Ginger";12;41.129;49.774193548387096;58.693548387096776
"Green Chilli";1;38.6667;46.666666666666664;55.333333333333336
"Green Chilli";2;51.6429;62.535714285714285;73.60714285714286
"Green Chilli";3;40.4516;48.88709677419355;57.53225806451613
"Green Chilli";4;39.0;47.18333333333333;55.6
"Green Chilli";5;36.871;44.61290322580645;52.483870967741936
"Green Chilli";6;35.0;42.333333333333336;49.75
"Green Chilli";7;32.3548;39.306451612903224;46.03225806451613
"Green Chilli";8;38.0645;46.08064516129032;54.20967741935484
"Green Chilli";9;36.5333;44.18333333333333;52.083333333333336
"Green Chilli";10;36.2903;43.95161290322581;51.67741935483871
"Green Chilli";11;36.8667;44.6;52.55
"Green Chilli";12;35.5161;43.04838709677419;50.596774193548384
"Onion Big";1;38.0;46.0;54.166666666666664
"Onion Big";2;35.8571;43.42857142857143;51.05357142857143
"Onion Big";3;33.7742;40.82258064516129;48.096774193548384
"Onion Big";4;21.6667;26.25;31.016666666666666
"Onion Big";5;20.2581;24.483870967741936;28.79032258064516
"Onion Big";6;20.4667;24.783333333333335;29.35
"Onion Big";7;21.7097;26.193548387096776;30.983870967741936
"Onion Big";8;24.1613;29.241935483870968;34.46774193548387
"Onion Big";9;23.7667;28.65;33.733333333333334
"Onion Big";10;22.4839;27.112903225806452;32.03225806451613
"Onion Big";11;35.8;43.28333333333333;50.983333333333334
"Onion Big";12;28.0645;34.04838709677419;40.096774193548384
"Onion Small";1;61.0;73.66666666666667;87.0
"Onion Small";2;63.1786;76.5;90.03571428571429
"Onion Small";3;38.6129;46.79032258064516;54.96774193548387
"Onion Small";4;29.6333;35.9;42.28333333333333
"Onion Small";5;27.1613;32.854838709677416;38.79032258064516
"Onion Small";6;30.6333;37.083333333333336;43.766666666666666
"Onion Small";7;33.6129;40.725806451612904;47.82258064516129
"Onion Small";8;32.2581;39.12903225806452;45.96774193548387
"Onion Small";9;29.8;36.13333333333333;42.46666666666667
"Onion Small";10;30.3226;36.67741935483871;43.225806451612904
"Onion Small";11;60.2667;72.95;85.83333333333333
"Onion Small";12;55.2581;66.88709677419355;78.74193548387096
"Potato";1;22.6667;27.166666666666668;32.333333333333336
"Potato";2;22.0357;26.482142857142858;31.446428571428573
"Potato";3;22.5806;27.241935483870968;32.11290322580645
"Potato";4;23.0667;27.883333333333333;32.95
"Potato";5;25.6452;31.06451612903226;36.596774193548384
"Potato";6;29.4;35.55;41.93333333333333
"Potato";7;28.3548;34.25806451612903;40.564516129032256
"Potato";8;33.129;40.11290322580645;47.17741935483871
"Potato";9;31.7;38.45;45.15
"Potato";10;31.8065;38.53225806451613;45.274193548387096
"Potato";11;34.3667;41.53333333333333;48.96666666666667
"Potato";12;31.0;37.645161290322584;44.24193548387097
