"Vegetable_Name";"amp";"asmp";"arp"
"Amla";56.1702;80.19680851063829;68.2127659574468
"Ash gourd";22.8319;32.526595744680854;27.613829787234042
"Banana Flower";16.2383;23.106382978723403;19.67872340425532
"Capsicum";39.1255;55.776595744680854;47.35425531914893
"Bitter Gourd";31.7064;45.2031914893617;38.39468085106383
"Bottle Gourd";25.1851;35.922340425531914;30.463829787234044
"Colocasia Leaves";12.8617;18.343617021276597;15.643617021276595
"Colocasia";25.317;36.113829787234046;30.585106382978722
"Corn";26.3638;37.59148936170213;31.876595744680852
"Curry Leaves";31.0894;44.31170212765957;37.67872340425532
"Brinjal";25.2809;36.077659574468086;30.595744680851062
"Elephant Yam";26.8298;38.33191489361702;32.48936170212766
"Onion Green";40.6766;57.943617021276594;49.22234042553192
"Ivy Gourd";26.5043;37.7563829787234;32.0531914893617
"Mushroom";82.4;117.46914893617021;99.71808510638297
"Mustard Leaves";15.9872;22.75212765957447;19.40531914893617
"Pumpkin";24.4468;34.86276595744681;29.530851063829786
"Radish";25.1383;35.87978723404255;30.41063829787234
"Ridge Gourd";28.2277;40.26702127659574;34.16276595744681
"Shallot (Pearl Onion)";33.166;47.242553191489364;40.15106382978723
"Sorrel Leaves";11.8851;16.922340425531914;14.548936170212766
"Spinach";12.9574;18.453191489361704;15.762765957446808
"Sweet Potato";38.9043;55.40744680851064;47.15531914893617
