"month";"avg(amp)";"avg(asmp)";"avg(arp)"
1;19.973;28.41891891891892;24.256756756756758
2;64.125;91.30357142857143;77.69642857142857
3;32.104825;45.79435483870967;38.90120967741935
4;34.87964444;49.72870370370371;42.20092592592593
5;26.08671111;37.19512195121951;31.57588075880759
6;19.02664;27.139999999999997;22.973333333333336
7;23.94085;34.20967741935484;28.989247311827956
8;18.83333333;26.862903225806452;22.827956989247312
9;14.5833;20.833333333333332;17.55
10;16.5484;23.58064516129032;19.93548387096774
11;8.2333;11.85;9.8
12;26.19356667;37.365591397849464;31.650537634408597
